"('P1_l ', 'Nivel de Ensino')","('P0', 'id')","('P1_m ', 'Área de Formação')","('P2_h ', 'Faixa salarial')","('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')","('P2_g ', 'Nivel')","('P4_d ', 'Quais das linguagens listadas abaixo você utiliza no trabalho?')","('P4_d_1 ', 'SQL')","('P4_d_2 ', 'R ')","('P4_d_3 ', 'Python')","('P4_d_4 ', 'C/C++/C#')","('P4_d_5 ', '.NET')","('P4_d_6 ', 'Java')","('P4_d_7 ', 'Julia')","('P4_d_8 ', 'SAS/Stata')","('P4_d_9 ', 'Visual Basic/VBA')","('P4_d_10 ', 'Scala')","('P4_d_11 ', 'Matlab')","('P4_d_12 ', 'Rust')","('P4_d_13 ', 'PHP')","('P4_d_14 ', 'JavaScript')","('P4_d_15 ', 'Não utilizo nenhuma linguagem')","('P1_b ', 'Genero')","('P1_c ', 'Cor/raca/etnia')","('P2_b ', 'Setor')","('P1_i_1 ', 'uf onde mora')","('P2_f ', 'Cargo Atual')","('P4_e ', 'Entre as linguagens listadas abaixo, qual é a que você mais utiliza no trabalho?')","('P2_o ', 'Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?')","('P2_o_1 ', 'Remuneração/Salário')","('P2_o_2 ', 'Benefícios')","('P2_o_3 ', 'Propósito do trabalho e da empresa')","('P2_o_4 ', 'Flexibilidade de trabalho remoto')","('P2_o_5 ', 'Ambiente e clima de trabalho')","('P2_o_6 ', 'Oportunidade de aprendizado e trabalhar com referências na área')","('P2_o_7 ', 'Plano de carreira e oportunidades de crescimento profissional')","('P2_o_8 ', 'Maturidade da empresa em termos de tecnologia e dados')","('P2_o_9 ', 'Qualidade dos gestores e líderes')","('P2_o_10 ', 'Reputação que a empresa tem no mercado')"
Doutorado ou Phd,001b2d1qtli8t9z7oqgdhj001b2d4i0g,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Sênior,"Python, SQL",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,MG,Cientista de Dados/Data Scientist,Python,"Flexibilidade de trabalho remoto, Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área",1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,0026aa3fwd78u0026asg7456tfkjg2cs,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Pleno,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,ES,Analista de BI/BI Analyst,SQL,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,00r21rb9pusd1b0v7ew00r21rw3dy69w,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Júnior,"SQL, Python, SAS/Stata",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Amarela,Finanças ou Bancos,SP,Analista de Dados/Data Analyst,SQL,"Flexibilidade de trabalho remoto, Remuneração/Salário, Ambiente e clima de trabalho",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Doutorado ou Phd,00v0az4g792svil00vn6y1kfm9hq8vy9,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Júnior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Outra Opção,MG,Analista de Dados/Data Analyst,Python,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Estudante de Graduação,015qqbrh4rr015qje9gvkbsb7ti1n5df,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Pleno,"Python, SQL",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Tecnologia/Fábrica de Software,RJ,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,"Flexibilidade de trabalho remoto, Remuneração/Salário, Propósito do trabalho e da empresa",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,01810y9hweneb018to8t1p8ubyn1o04m,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Pleno,SQL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,SP,Analista de Negócios/Business Analyst,SQL,"Flexibilidade de trabalho remoto, Remuneração/Salário, Benefícios",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Estudante de Graduação,01zusm1faol2k2601zlthh05cj7iqyit,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,Júnior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Preta,Setor Público,SE,Analista de BI/BI Analyst,SQL,"Remuneração/Salário, Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Pós-graduação,02yuxvtb6698rqwq8w02yuza594l7cut,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Pleno,"R, Não utilizo nenhuma das linguagens listadas",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Feminino,Preta,Tecnologia/Fábrica de Software,RS,Outra Opção,Não utilizo nenhuma das linguagens listadas,"Flexibilidade de trabalho remoto, Benefícios, Remuneração/Salário",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,04b8mbh28y4r0z04b8f42bs4j4ma44pl,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 4.001/mês a R$ 6.000/mês,de 5 a 6 anos,Pleno,"SQL, R, SAS/Stata",1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Setor Público,RJ,Analista de Dados/Data Analyst,SQL,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mestrado,04ellbzcl7lj3va9n1yx04eleu3mlvml,Outra opção,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Júnior,"SQL, SAS/Stata",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Prefiro não informar,Tecnologia/Fábrica de Software,MG,Analista de Negócios/Business Analyst,SQL,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
